,Sampling Location,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y
0,"Balanagar , CITD office ",4.3,4.6,4.5,4.7,4.5,4.8,4.9,4.8,4.6,5,4.9,5.2,4.733333333333333,29.2,26.3,37.7,30.8,27.1,27.9,26.1,25.8,29.2,33,36.7,43.8,31.133333333333336
1,"Uppal, Modern food Industry, IDA",4.2,4.4,4.5,4.5,4.6,4.7,5,4.8,4.6,5.4,4.9,5.8,4.783333333333333,24.7,26,23.8,26.9,26.1,32.7,23.3,25.6,28.9,27.3,32.4,43.7,28.45
2,"Jubilee Hills, Police station",4.2,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.9,4.6,6.7,4.675,28.7,28.5,30.3,26.8,27.3,26.9,22.7,29.1,29.7,28.6,27.5,31.3,28.116666666666664
3,"Paradise, HMWS &SB Pump house ",4.2,4.4,4.5,4.6,4.6,4.6,4.7,4.8,4.6,5,4.8,5.6,4.7,31.9,25.3,28.2,29.3,28.3,28.5,20.6,30.2,30,26.9,32.1,35.3,28.883333333333336
4,"Charminar, TSRTC bus station ",4.2,4.5,4.5,4.6,4.5,4.7,4.8,4.6,4.6,5.1,4.6,5.8,4.708333333333333,32,30,33.4,33,31.1,28.5,22.3,25.6,27.5,32.5,34.3,34.2,30.366666666666664
5,"Jeedimetla, Industrial Association building",4.3,4.5,4.4,4.6,4.6,4.8,4.8,4.8,4.6,4.9,4.8,8.9,4.999999999999999,28.6,26.1,26,26.1,29.2,30,22.7,26.9,27.3,28.3,33,31.2,27.95
6,"Buddha Purnima Project office, Tank Bund",4.3,4.2,4.4,4.5,4.7,4.6,4.5,4.4,4.3,4.7,4.7,4.8,4.508333333333333,17.4,22.1,20.1,20.8,23.3,22.1,20.6,18.1,16.9,21.7,19.6,24.6,20.60833333333333
7,"MGBS, Bus stand ",4.3,4.3,4.4,4.6,4.8,4.6,4.7,4.8,4.5,4.7,4.6,4.8,4.591666666666667,21.3,20.7,19.6,21.5,20.6,20.1,19.6,20.2,18,21.8,23,23.8,20.849999999999998
8,"Chikkadapally, Lepakshi Emporium ",4.2,4.1,4.5,4.5,4.7,5,4.9,4.9,4.5,5,4.7,5.3,4.691666666666666,21.9,21.5,22.9,18.5,21,23.1,25.7,22.2,20.3,25.1,20.9,25.1,22.349999999999998
9,"Langar House, Police Station ",4.3,4.4,4.6,4.6,4.7,4.8,4.7,4.7,4.4,4.9,4.7,4.5,4.608333333333333,23.1,21.7,19.9,22.4,26.6,25.1,21.8,21.4,20.7,25.4,22.8,24.4,22.941666666666666
10,"Madhapur, Shilpa Kalavedika ",4.3,4.2,4.3,4.5,4.7,4.9,4.5,4.5,4.3,4.5,4.5,4.7,4.491666666666666,20.6,19.7,19.3,19.1,22.6,18.9,17.8,18,16.7,18.4,17,19.6,18.974999999999998
11,"Shameerpet, MRO office",4.3,4.2,4.3,4.5,4.6,4.4,4.5,4.5,4.4,4.3,4.4,4.6,4.416666666666666,17.7,16.7,16.4,20,19.6,16.5,16.9,15.5,14.9,16.8,15.6,18.6,17.1
12,"Kukatpally, JNTU",4.3,4.2,4.5,4.6,4.6,5.2,5,4.7,4.5,5.1,5,5.6,4.775000000000001,22.3,22.3,24,25.2,28,25.9,22.1,23.8,24.6,25.1,33.2,41.1,26.46666666666667
13,"Sainikpuri,  MRO office ",4.3,4.2,4.4,4.3,4.7,5.1,4.5,4.7,4.3,5.2,4.4,4.3,4.533333333333333,15.8,18.8,18.3,16.9,17.7,18.9,15.4,17.9,16,19.5,19.7,18.8,17.808333333333334
14,"Nacharam, Police station ",4.3,4.3,4.5,4.7,4.7,4.9,4.7,5.2,4.6,5.1,4.8,5,4.733333333333333,20.6,22.9,22.3,23.5,24.3,23.6,25,21.2,20.3,26,23.7,25.8,23.266666666666666
15,"Abids, Police station ",4.3,4.2,4.4,4.6,4.8,4.7,4.7,4.8,4.4,4.8,4.7,5,4.616666666666666,22.7,26.7,24.5,26.2,25.8,24.3,25,22,20.3,23.8,25.3,23.4,24.166666666666668
16,"KBRN Park, DFO office ",4.2,4.2,4.5,4.3,4.4,4.3,4.3,4.4,4.2,4.6,4.4,4.5,4.358333333333333,19.8,15.7,24,17.2,18.5,17.7,14.9,17.1,14.4,19.6,17.5,20.2,18.05
17,Sanathnagar,5.29469,4.7,6.3,9.097026250000003,5.062037774193547,5.270953,5,6.195295,6.812404,13.71205,30.47144,10.4,9.026324668682797,67.1101,46.2,48.3,51.09037178571429,47.39242516129032,30.45251,25.6,24.03859,25.69912,51.16865,60.38508,45.5,43.57807057891705
18,HCU,13.042545483870969,9.351497586206898,10.7,9.1,7.079359966666668,4.887878,4.6,4.988065,4.771528,11.81311,18.47602,9.8,9.050833669728709,59.705380645161306,54.4317072413793,57.4,60,18.854597479999992,11.24652,11.6,29.74674,33.41584,47.63754,65.09923,42.9,41.00312961387838
19,Zoopark,11.350934548387098,6.196917862068966,5.4204034838709685,6.1,5.070820518518518,,,8.928455,6.854236,6.086657,13.80522,8.8,7.861364441284556,58.755688709677415,57.6,55.81363636363635,49.2,52.41981379310345,,,17.89061,16.50282,42.48441,64.88364,48.6,46.415061886641716
20,Pashamylaram,23.1,12,10.5721085,8.858591066666667,5.648909137931034,4.813937,3.7,4.301424,7.906579,21.40628,36.83995,14.1,12.770648225383141,82.7,62.7,55.01,56.11159533333333,76.29707448275862,65.92497,66.6,75.53783,64.87439,69.47612,44.70104,65.1,65.41941831800767
21,KUDA,7,7,6.7,7,8,7,7,6,8,7,7,8,7.141666666666667,20,20,22.8,28,22,20,22,20,25,26,23,30,23.233333333333334
22," Mee-Seva, Warangal ",7,7,7.1,7,8,7,7,7,7,7,6,8,7.091666666666666,26,19,21.8,20,19,22,20,28,20,22,22,30,22.483333333333334
23,Balasamudram,6.3,4.8,-,5.5,6.3,8,6,5.5,6.8,7.5,8,9,6.7,9.8,9,-,14,11.5,14,15,9.5,14,18.2,26,28,15.363636363636363
24,Nakkalagutta,6.8,4.5,-,6.8,6.3,8,7,5,7,7.3,8,8,6.790909090909091,10.3,9.5,-,16,14.5,13,17,10,15.8,19.8,29,26,16.44545454545454
25,Godavarikhani,9,10,8.96,8,9,7,7,7,8,8,7,8,8.08,21,26,36,34,30,31,23,25,28,26,29,27,28
26," DIC building, Karimnagar",8,9,7.7,7,5,5,4,6,6,6,7,7,6.4750000000000005,22,25,32.1,29,21,19,20,20,23,23,23,26,23.59166666666667
27,"CER Club, Kothagudem",8,8,7.4,8,7,6,8,5,7,7,6,8,7.116666666666667,22,20,20.7,21,19,13,24,17,31,24,23,28,21.891666666666666
28,Jalasouda ,6,7,6.1,8,7,5,8,5,8,7,7,8,6.841666666666666,19,19,20.7,19,19,21,22,14,17,23,24,27,20.391666666666666
29,Kothur,9,10,7.5,7,8,10,8,9,9,8,9,9,8.625,28,32,29.5,26,39,34,35,35,20,31,29,28,30.541666666666668
30,R.C.Puram,6,6,7,5,5,6,5,5,5,6,6,5,5.583333333333333,28,28,27,26,26,25,26,25,22,26,24,24,25.583333333333332
31,Bollaram,10,Ins. Repair,,,12,14,13,12,14,13,14,10,12.444444444444445,26,Ins. Repair,,,24,26,24,25,24,28,26,26,25.444444444444443
32,Sangareddy,5,5,5,5,5,5,5,5,5,5,5,5,5,23,23,21,23,23,22,21,22,20,24,22,23,22.25
33,PETL,13,12,14,13,11,11,12,12,12,12,9,9,11.666666666666666,21,24,25,25,23,21,24,27,23,25,24,25,23.916666666666668
34,Gaddapotharam,5,5,6,5,5,6,6,5,6,5,5,5,5.333333333333333,27,27,27,27,26,24,25,23,22,23,23,24,24.833333333333332
35,"Nalgonda RO, Building",7,6,6,5,6,6,6,6,5,6,6,5,5.833333333333333,27,27,26,25,27,26,26,25,24,25,26,23,25.583333333333332
36,"Choutuppal, Nalgonda",7,7,7,7,7,6,6,6,6,7,6,5,6.416666666666667,28,28,29,28,28,28,27,28,25,27,25,25,27.166666666666668
37,Subhasnagar/  Nizamabad,-,-,-,-,-,4,4,5,5,6,5,5,4.857142857142857,-,-,-,-,-,15,17,18,18,22,21,21,18.857142857142858
38,Adilabad/ Mandamarri,-,-,-,-,-,4,4,4,5,5,5,5,4.571428571428571,-,-,-,-,-,15,16,17,18,22,20,21,18.428571428571427
